arf5	ENST00000000233
OPRM1	ENST00000419506
XG	ENST00000419513
C6orf204	ENST00000419517
Acvrl1	ENST00000419526
GOLGA8DP	ENST00000419543
SIGLEC1	ENST00000419548
RASGRF1	ENST00000419573
HEPH	ENST00000419594
RBM6	ENST00000419610
ZNF487	ENST00000419634
lancl1	ENST00000419649
LOC645100	ENST00000419653
Gpbar1	ENST00000419663
OR11A1	ENST00000419669
ncf1	ENST00000419670
C21orf33	ENST00000419699
ARFGAP2	ENST00000419701
IL1RN	ENST00000419732
zhx3	ENST00000419740
Pcgf3	ENST00000419774
Sfrs15	ENST00000419806
RIC3	ENST00000419822
RHD	ENST00000419831
ZSWIM2	ENST00000419862
B4GALNT1	ENST00000419870
CDRT4	ENST00000419890
LOC100128028	ENST00000419897
Nif3l1	ENST00000419903
Zeb2	ENST00000419938
aldh1a1	ENST00000419959
ASPRV1	ENST00000419963
EPHA4	ENST00000419964
PRPF31	ENST00000419967
LOC100131735	ENST00000419968
WDR34	ENST00000419989
CEP350	ENST00000419991
Snhg11	ENST00000420006
ATP2C2	ENST00000420010
ITFG3	ENST00000420046
LOC646802	ENST00000420048
Cyb5rl	ENST00000420054
IFNAR2	ENST00000420068
RPS6KB2	ENST00000420069
LOXHD1	ENST00000420097
EXOC7	ENST00000420116
TCTN3	ENST00000420119
C2orf84	ENST00000420135
Slc13a3	ENST00000420205
PUM2	ENST00000420234
TFIP11	ENST00000420242
NCRNA00171	ENST00000420251
C1QTNF8	ENST00000420278
LRRC8B	ENST00000420280
Neu4	ENST00000420288
Fam179a	ENST00000420297
LILRB2	ENST00000420298
Plekhm2	ENST00000420314
Ogfod2	ENST00000420319
Fam178a	ENST00000420334
C14orf159	ENST00000420339
TENC1	ENST00000420340
Med7	ENST00000420343
UNC5D	ENST00000420357
Wdhd1	ENST00000420358
Eya1	ENST00000420361
C3orf32	ENST00000420394
Wbscr22	ENST00000420399
suv39h2	ENST00000420416
hopx	ENST00000420433
CTNNA3	ENST00000420437
API5L1	ENST00000420461
GRP	ENST00000420468
Pigq	ENST00000420487
Pde2a	ENST00000420501
KIAA1245	ENST00000420513
GSPT1	ENST00000420576
ACADM	ENST00000420607
SULT6B1	ENST00000420611
mfsd2a	ENST00000420632
CSPG4P1	ENST00000420667
PILRB	ENST00000420688
PHF21B	ENST00000420689
Tecpr1	ENST00000420697
ncor2	ENST00000420698
TMEM53	ENST00000420706
DDX3Y	ENST00000420730
SDK1	ENST00000420750
PHACTR2	ENST00000420771
Ppt2	ENST00000420778
C15orf44	ENST00000420799
CCNYL1	ENST00000420822
Sumo2	ENST00000420826
CD63	ENST00000420846
ikbip	ENST00000420861
TCP1P3	ENST00000420894
ELF2	ENST00000420916
CCDC144B	ENST00000420937
Bnc2	ENST00000420953
TGM3	ENST00000420960
ARFRP1	ENST00000420963
Pigq	ENST00000420990
ITFG3	ENST00000421000
KLHL2	ENST00000421009
Mdh1	ENST00000421012
ANXA2	ENST00000421017
upp1	ENST00000421046
haus7	ENST00000421080
PDS5B	ENST00000421084
Cdc42	ENST00000421089
zan	ENST00000421100
GUSB	ENST00000421103
CHST15	ENST00000421115
MBTPS1	ENST00000421130
C8orf62	ENST00000421149
CHL1	ENST00000421198
apod	ENST00000421243
DGKZ	ENST00000421244
GPR89C	ENST00000421247
GPR89B	ENST00000421247
C1orf186	ENST00000421280
MDN1	ENST00000421327
MSL3	ENST00000421368
FBLN2	ENST00000421373
IDO2	ENST00000421393
DAZ3	ENST00000421405
pkn2	ENST00000421408
EYA4	ENST00000421413
zhx3	ENST00000421422
TNFAIP3	ENST00000421450
sgol1	ENST00000421451
fgf13	ENST00000421460
ZNF658	ENST00000421476
ARPP21	ENST00000421492
TBP	ENST00000421512
NKIRAS1	ENST00000421515
MYD88	ENST00000421516
Hdac8	ENST00000421523
NOX1	ENST00000421533
MAN1A2	ENST00000421535
Tdrd12	ENST00000421545
NBPF10	ENST00000421555
NBPF1	ENST00000421555
AXIN1	ENST00000421566
SUMO1P3	ENST00000421569
Coro1a	ENST00000421578
LILRB1	ENST00000421584
Snhg11	ENST00000421599
usp48	ENST00000421625
Trim50	ENST00000421666
NOSTRIN	ENST00000421711
NCEH1	ENST00000421723
ikzf2	ENST00000421754
Vipr2	ENST00000421760
eif4e3	ENST00000421769
SLC23A3	ENST00000421779
IGF2	ENST00000421783
tbx6	ENST00000421790
IFNGR2	ENST00000421802
gcdH	ENST00000421816
Ubxn11	ENST00000421827
GGT4P	ENST00000421833
ASPRV1	ENST00000421843
KIAA1310	ENST00000421845
Tmem41a	ENST00000421852
znf277	ENST00000421864
Lama2	ENST00000421865
CRYL1	ENST00000421925
KIAA1109	ENST00000421930
prmt5	ENST00000421938
CDK9	ENST00000421939
GMPR2	ENST00000421944
ufd1l	ENST00000421968
LRRC32	ENST00000421973
KIF2C	ENST00000421978
GRIA2	ENST00000421983
bat3	ENST00000421991
TMPRSS3	ENST00000422004
EHBP1	ENST00000422032
UBE2J2	ENST00000422076
Magea2	ENST00000422085
pnpla8	ENST00000422087
XIAP	ENST00000422098
Glis3	ENST00000422099
vps8	ENST00000422105
GALNT1	ENST00000422126
ZNF655	ENST00000422164
RABL5	ENST00000422177
CCDC120	ENST00000422185
TMEM14D	ENST00000422205
tmem14b	ENST00000422205
KIF15	ENST00000422209
CCL3L3	ENST00000422211
RPL15P7	ENST00000422218
MACF1	ENST00000422234
LOC645086	ENST00000422258
CALM3	ENST00000422269
Pdha1	ENST00000422285
Sf1	ENST00000422298
Pigq	ENST00000422307
flot1	ENST00000422312
PIP4K2A	ENST00000422321
RPL39P10	ENST00000422326
TBXAS1	ENST00000422328
pacsin2	ENST00000422336
Morf4l2	ENST00000422355
PLP1	ENST00000422393
C2orf65	ENST00000422394
LOC100134412	ENST00000422407
LOC100134103	ENST00000422407
SEZ6L	ENST00000422412
ODZ1	ENST00000422452
tmem150a	ENST00000422458
HSD11B1L	ENST00000422535
ppapdc1b	ENST00000422581
NFATC4	ENST00000422617
C10orf68	ENST00000422668
ETNK2	ENST00000422699
ARPC4	ENST00000422738
LOC440311	ENST00000422743
asnS	ENST00000422745
COG6	ENST00000422759
RHPN1	ENST00000422773
KIAA1549	ENST00000422774
BAI2	ENST00000422775
Eif2ak1	ENST00000422786
BCAS1	ENST00000422805
KCTD15	ENST00000422820
LOC100133678	ENST00000422863
GUSBL2	ENST00000422882
ANKRD44	ENST00000422886
BCL2L1	ENST00000422920
rps21	ENST00000422923
TRPS1	ENST00000422939
ZFP91	ENST00000422974
GGA1	ENST00000423024
SNX20	ENST00000423026
gnal	ENST00000423027
ESPNL	ENST00000423032
papd4	ENST00000423041
eif2s3	ENST00000423068
Cpt1b	ENST00000423069
Pttg1ip	ENST00000423073
CCDC150	ENST00000423093
Elmod3	ENST00000423095
EIF4ENIF1	ENST00000423097
ppp2r4	ENST00000423100
ATRNL1	ENST00000423111
Tpsab1	ENST00000423126
Tecpr1	ENST00000423128
Npc1l1	ENST00000423141
STAG3L1	ENST00000423186
HLA-B	ENST00000423188
PIK3R3	ENST00000423209
NCRNA00110	ENST00000423221
CFLAR	ENST00000423241
C15orf51	ENST00000423248
MCF2L	ENST00000423251
PLK1S1	ENST00000423272
KIF2C	ENST00000423289
WDR48	ENST00000423296
EIF5AL1	ENST00000423308
KIAA1109	ENST00000423315
srpk1	ENST00000423325
TBC1D5	ENST00000423331
CYP4Z2P	ENST00000423332
LOC644390	ENST00000423415
brdt	ENST00000423434
MTMR14	ENST00000423457
RAB18	ENST00000423465
NRBP2	ENST00000423469
Triobp	ENST00000423472
MCF2L	ENST00000423482
ABCA1	ENST00000423487
Bco2	ENST00000423493
TPPP2	ENST00000423514
CXorf40B	ENST00000423540
sufU	ENST00000423559
EFCAB5	ENST00000423598
tlr9	ENST00000423623
C20orf114	ENST00000423645
PRDM10	ENST00000423662
HSD11B1L	ENST00000423665
Ncdn	ENST00000423723
LAMA4	ENST00000423735
PHF14	ENST00000423760
LOC654342	ENST00000423774
ATF5	ENST00000423777
Adrm1	ENST00000423787
KCNQ3	ENST00000423790
MED20	ENST00000423815
ENPP3	ENST00000423831
Nicn1	ENST00000423832
STAG3L1	ENST00000423834
Tmtc4	ENST00000423847
GTF2H4	ENST00000423849
GOLGA2P2	ENST00000423852
RanBP1	ENST00000423859
LOC727803	ENST00000423859
RPL23AP82	ENST00000423888
LOC646802	ENST00000423905
C2orf14	ENST00000423905
LOC100128077	ENST00000423918
capn8	ENST00000423927
C2orf80	ENST00000423952
mras	ENST00000423968
ZNF655	ENST00000423973
FAM123C	ENST00000423981
GIGYF2	ENST00000424038
NR4A2	ENST00000424077
gpr85	ENST00000424100
INO80D	ENST00000424117
RHBDD1	ENST00000424132
ELAC2	ENST00000424152
TMED3	ENST00000424155
C1orf125	ENST00000424186
GART	ENST00000424203
actn4	ENST00000424234
DENND3	ENST00000424248
PRDM11	ENST00000424263
C6orf130	ENST00000424266
Insc	ENST00000424273
SCN7A	ENST00000424326
OR10T1P	ENST00000424327
Ankrd54	ENST00000424350
TRIM6-TRIM34	ENST00000424369
FYTTD1	ENST00000424384
PRDX1	ENST00000424390
PHF16	ENST00000424392
TOP3B	ENST00000424393
AKR7A2	ENST00000424403
LAMA4	ENST00000424408
GIGYF2	ENST00000424414
LOC441528	ENST00000424415
nfyc	ENST00000424419
PRNP	ENST00000424424
C20orf173	ENST00000424444
GPBP1	ENST00000424459
GATA2	ENST00000424482
CYB561D2	ENST00000424512
IPO11	ENST00000424533
LIMS3	ENST00000424535
Gramd1a	ENST00000424536
HUWE1	ENST00000424562
TNK2	ENST00000424563
RPL12P6	ENST00000424565
PSPH	ENST00000424596
OPTN	ENST00000424614
ZNF812	ENST00000424629
ARID4A	ENST00000424658
GGTLC3	ENST00000424668
FOXR2	ENST00000424671
TSPAN12	ENST00000424710
PITRM1	ENST00000424714
vps8	ENST00000424721
Mta1	ENST00000424723
GPR172B	ENST00000424747
CYP2D7P1	ENST00000424775
FKBP7	ENST00000424785
ggt1	ENST00000424787
CYP3A4	ENST00000424826
EFEMP1	ENST00000424836
PCSK5	ENST00000424854
SYNPO2	ENST00000424855
YKT6	ENST00000424864
ANKRD20A2	ENST00000424870
MYD88	ENST00000424893
Dek	ENST00000424923
KIAA2022	ENST00000424929
MAP4K2	ENST00000424945
RGNEF	ENST00000424972
CAP1	ENST00000424977
dync1li1	ENST00000424991
Wrb	ENST00000425001
LOC644877	ENST00000425017
EIF4A2	ENST00000425053
MAP4	ENST00000425068
TPO	ENST00000425083
FAM90A7	ENST00000425087
rabl2b	ENST00000425098
Aup1	ENST00000425118
HLA-F	ENST00000425139
tap1	ENST00000425148
Tymp	ENST00000425169
RAD51C	ENST00000425173
Rbm39	ENST00000425184
NR2C2	ENST00000425241
ABI2	ENST00000425253
MTHFD1L	ENST00000425276
LDB1	ENST00000425280
ARPP21	ENST00000425289
c3orf75	ENST00000425291
Mocs1	ENST00000425303
Fam128b	ENST00000425361
C6orf99	ENST00000425377
NAPEPLD	ENST00000425379
Nbl1	ENST00000425400
Amy1a	ENST00000425410
UBR4	ENST00000425413
ABCA2	ENST00000425423
GALNT10	ENST00000425427
PRIM2	ENST00000425433
MYH14	ENST00000425460
HEATR5B	ENST00000425467
BBS9	ENST00000425508
ITGA4	ENST00000425522
Hmgb4	ENST00000425537
MOSC2	ENST00000425560
CCPG1	ENST00000425574
IL23R	ENST00000425614
Fam109a	ENST00000425655
RIMS1	ENST00000425662
SCN5A	ENST00000425664
Got2	ENST00000425685
NANOS1	ENST00000425699
LOC100129500	ENST00000425718
JKAMP	ENST00000425728
Ecm1	ENST00000425744
KIF15	ENST00000425755
sfrs7	ENST00000425778
Slc5a9	ENST00000425816
SCRN1	ENST00000425819
PIK3R3	ENST00000425892
C17orf70	ENST00000425898
TNFRSF6B	ENST00000425905
RTEL1	ENST00000425905
PTPRA	ENST00000425918
ITPKA	ENST00000425927
rgma	ENST00000425933
garnl3	ENST00000425970
Fbxl2	ENST00000425973
DNAJC27	ENST00000425984
DAZ4	ENST00000426000
CASC2	ENST00000426021
FYTTD1	ENST00000426031
Chtf18	ENST00000426047
Mettl10	ENST00000426050
IL7R	ENST00000426051
DOCK8	ENST00000426054
C3orf35	ENST00000426078
Vegfb	ENST00000426086
PUM1	ENST00000426105
Fer1l4	ENST00000426117
CALCR	ENST00000426151
TCTN2	ENST00000426174
Acrv1	ENST00000426183
por	ENST00000426184
Tuba8	ENST00000426208
HMGB1L10	ENST00000426225
PSG4	ENST00000426252
RNF185	ENST00000426256
slc2a1	ENST00000426263
PSMD4	ENST00000426273
lpp	ENST00000426274
ERGIC1	ENST00000426277
Nhej1	ENST00000426304
ZNF394	ENST00000426306
EPHA4	ENST00000426308
vps8	ENST00000426319
C3orf55	ENST00000426338
Txnl4b	ENST00000426362
CA3	ENST00000426378
ptbp2	ENST00000426398
ARPC3	ENST00000426440
TNFRSF14	ENST00000426449
MYT1L	ENST00000426458
HSPD1	ENST00000426480
OGG1	ENST00000426518
GJC1	ENST00000426548
CCDC88A	ENST00000426576
BRPF1	ENST00000426583
DNAJC7	ENST00000426588
WIT1	ENST00000426618
OXSR1	ENST00000426620
Maff	ENST00000426621
tas1r1	ENST00000426623
COL24A1	ENST00000426639
BCS1L	ENST00000426649
Rpl7a	ENST00000426651
Tmcc1	ENST00000426664
nckipsd	ENST00000426678
SHANK2	ENST00000426687
BMPER	ENST00000426693
LOC401052	ENST00000426698
Txndc2	ENST00000426718
RDBP	ENST00000426722
Fcgr3a	ENST00000426740
atp5s	ENST00000426751
PIGX	ENST00000426755
rpl28	ENST00000426763
HLA-F	ENST00000426780
DNAJC11	ENST00000426784
Atf2	ENST00000426833
MAP4	ENST00000426837
gcat	ENST00000426858
NBPF15	ENST00000426874
NBPF11	ENST00000426874
LOC200030	ENST00000426874
gnl1	ENST00000426875
LMCD1	ENST00000426878
SPCS1	ENST00000426887
ZNF154	ENST00000426889
C21orf84	ENST00000426942
OLIG1	ENST00000426947
TLE2	ENST00000426948
Rbm39	ENST00000426951
Eif2ak1	ENST00000426957
Lims2	ENST00000426981
DSCR4	ENST00000426987
CPSF3	ENST00000427001
Phf1	ENST00000427004
ABCB6	ENST00000427013
FAM128A	ENST00000427024
WDFY3	ENST00000427028
KRTAP10-6	ENST00000427033
IL1RL1	ENST00000427077
Il5ra	ENST00000427088
znf462	ENST00000427098
fbxl19	ENST00000427128
MYO1B	ENST00000427152
Plekhg4	ENST00000427155
PLGLB1	ENST00000427160
ZNF300	ENST00000427179
C9orf3	ENST00000427193
LOC653888	ENST00000427217
LIPG	ENST00000427224
SPRED2	ENST00000427238
BANF2	ENST00000427254
LOC729722	ENST00000427291
PTPN20A	ENST00000427311
xylB	ENST00000427323
Cntn4	ENST00000427331
BLNK	ENST00000427367
Ube2e2	ENST00000427371
Tcp11	ENST00000427376
GOLGA6L6	ENST00000427390
ACE2	ENST00000427411
COMMD1	ENST00000427417
CYTH2	ENST00000427476
SH3GL3	ENST00000427482
Stac	ENST00000427486
HDLBP	ENST00000427487
PLD5	ENST00000427495
bud31	ENST00000427499
GPC1	ENST00000427506
VCX	ENST00000427508
ZNF772	ENST00000427512
Ppt2	ENST00000427556
TEKT4	ENST00000427593
SLC2A13	ENST00000427596
MS4A4E	ENST00000427611
FREM1	ENST00000427623
NARF	ENST00000427631
Golph3l	ENST00000427665
PLK1S1	ENST00000427692
ELAC2	ENST00000427703
PHACTR2	ENST00000427704
fancl	ENST00000427708
TNKS1BP1	ENST00000427750
HNRNPR	ENST00000427764
POM121L3P	ENST00000427789
Fstl5	ENST00000427802
JAZF1	ENST00000427814
SGSM3	ENST00000427834
PLEKHM3	ENST00000427836
p2ry12	ENST00000427837
Slc19a1	ENST00000427839
LOC100134108	ENST00000427841
TNFSF15	ENST00000427842
CAP1	ENST00000427843
dock9	ENST00000427887
FBXO24	ENST00000427939
WDR75	ENST00000427960
SUN1	ENST00000427969
SELENBP1	ENST00000427977
Slc4a7	ENST00000428005
LOC338799	ENST00000428029
MFSD9	ENST00000428085
Clec1b	ENST00000428126
RGPD1	ENST00000428128
rin3	ENST00000428147
DDR1	ENST00000428153
PMPCB	ENST00000428154
Wbscr22	ENST00000428163
rpl10	ENST00000428169
cchcr1	ENST00000428174
TNK2	ENST00000428187
HSPD1P5	ENST00000428204
HSPD1P4	ENST00000428204
ATG9A	ENST00000428226
CXorf40A	ENST00000428236
MTHFD1L	ENST00000428246
cchcr1	ENST00000428269
FCGBP	ENST00000428281
ZNF709	ENST00000428311
cchcr1	ENST00000428325
GGT4P	ENST00000428338
SLC12A1	ENST00000428362
ARPP21	ENST00000428373
STX1A	ENST00000428377
FOXI3	ENST00000428390
FBXW5	ENST00000428398
JAK3	ENST00000428406
QSER1	ENST00000428421
smek1	ENST00000428424
glb1l	ENST00000428427
HEATR7B1	ENST00000428446
pygb	ENST00000428458
GPR6	ENST00000428489
SPTBN4	ENST00000428507
GPC6	ENST00000428510
C7orf58	ENST00000428526
TTC27	ENST00000428527
KCNMA1	ENST00000428546
TRIM39	ENST00000428555
ECT2	ENST00000428567
LOC389901	ENST00000428575
ANKRD20A3	ENST00000428576
ANKRD20A2	ENST00000428576
NBPF6	ENST00000428601
GRIA4	ENST00000428631
shkbp1	ENST00000428635
dus3l	ENST00000428664
SNAP91	ENST00000428679
znf3	ENST00000428683
TACC1	ENST00000428714
NPR1	ENST00000428723
PLP1	ENST00000428755
SLC12A9	ENST00000428758
Atf2	ENST00000428760
Gabra1	ENST00000428797
lipA	ENST00000428800
C1orf159	ENST00000428805
CHEK1	ENST00000428830
Rbp1	ENST00000428877
Piga	ENST00000428964
FUK	ENST00000428974
arl5a	ENST00000428992
PLOD1	ENST00000429000
DNPEP	ENST00000429013
SNHG3-RCC1	ENST00000429051
SPDYE8P	ENST00000429058
LOC401052	ENST00000429065
STARD3NL	ENST00000429075
Clnk	ENST00000429087
Ggt7	ENST00000429091
LOC100132418	ENST00000429104
C10orf55	ENST00000429131
ZNF322A	ENST00000429144
SEC63	ENST00000429168
GIGYF2	ENST00000429187
Pak3	ENST00000429193
Tex10	ENST00000429235
LOC653888	ENST00000429246
Iqsec1	ENST00000429247
SR140	ENST00000429264
TIMM23B	ENST00000429265
Ldb3	ENST00000429277
SLC16A1	ENST00000429288
ABI3BP	ENST00000429331
C19orf29	ENST00000429344
Mpst	ENST00000429360
FGFR2	ENST00000429361
AZI2	ENST00000429369
ZNF34	ENST00000429371
LUC7L	ENST00000429378
SIRPD	ENST00000429387
HPS4	ENST00000429411
RAPGEF1	ENST00000429421
Zfat	ENST00000429442
RPS24	ENST00000429451
F8	ENST00000429477
Hspa1l	ENST00000429486
lipH	ENST00000429510
C21orf81	ENST00000429521
ANKRD20A2	ENST00000429521
ETNK2	ENST00000429525
Pdzk1	ENST00000429537
BCAP31	ENST00000429550
F13A1	ENST00000429559
GSTO2	ENST00000429569
ATP6AP1	ENST00000429585
LOC286512	ENST00000429589
C5orf25	ENST00000429602
LOC652147	ENST00000429650
fez2	ENST00000429655
MPV17	ENST00000429669
SLC25A40	ENST00000429674
R3hdm1	ENST00000429703
STAG3L2	ENST00000429726
LOC100130932	ENST00000429728
LOC100130003	ENST00000429728
lzts2	ENST00000429732
LOC647030	ENST00000429769
TPSD1	ENST00000429778
CSAG3	ENST00000429780
RAD18	ENST00000429790
HERC2	ENST00000429795
CTCFL	ENST00000429804
PDLIM2	ENST00000429812
CRYZL1	ENST00000429827
FAM22E	ENST00000429828
TMEM232	ENST00000429839
MSH5	ENST00000429846
Fam26d	ENST00000429858
LOC727726	ENST00000429875
CASP8	ENST00000429881
ptprf	ENST00000429895
Mlph	ENST00000429898
Rbm34	ENST00000429912
proC	ENST00000429925
ATP2B2	ENST00000429937
HSPBL2	ENST00000429938
ap1m1	ENST00000429941
APLN	ENST00000429967
Clasp1	ENST00000429969
KIAA1324	ENST00000429982
TSPAN14	ENST00000429989
PTH1R	ENST00000430002
GRIN3B	ENST00000430019
GGT4P	ENST00000430030
bat3	ENST00000430037
FCHO2	ENST00000430046
MED6	ENST00000430055
CBWD1	ENST00000430059
Pde2a	ENST00000430063
TBL1XR1	ENST00000430069
SLC6A8	ENST00000430077
ddt	ENST00000430101
CRHR1	ENST00000430106
TMEM151B	ENST00000430110
CALCOCO1	ENST00000430117
ALDH1A2	ENST00000430119
RAB34	ENST00000430132
HSPD1	ENST00000430176
slc5a6	ENST00000430186
LOC100130383	ENST00000430190
HMGA1	ENST00000430198
IRF5	ENST00000430204
TRIM27	ENST00000430208
GGCX	ENST00000430215
NIPAL2	ENST00000430223
Magea4	ENST00000430273
EPB41L1	ENST00000430276
ARID1A	ENST00000430291
Rif1	ENST00000430328
BRD8	ENST00000430331
BCL6	ENST00000430339
lpp	ENST00000430340
GRWD1	ENST00000430343
FRMPD2L2	ENST00000430359
Wbp5	ENST00000430392
CLCN2	ENST00000430397
Dmtf1	ENST00000430405
PDHX	ENST00000430469
etv1	ENST00000430479
Tpsab1	ENST00000430512
Hnrnph3	ENST00000430522
RanBP1	ENST00000430524
Btbd3	ENST00000430557
cyp2a13	ENST00000430558
Rbm12	ENST00000430570
ABI2	ENST00000430574
SMC6	ENST00000430591
TMEM44	ENST00000430601
MAP3K8	ENST00000430603
XIAP	ENST00000430625
CDK12	ENST00000430627
gtf2h2	ENST00000430631
cndp1	ENST00000430634
PTPRA	ENST00000430705
Chd8	ENST00000430710
rtn2	ENST00000430715
dhx58	ENST00000430773
POLR2H	ENST00000430783
LOC646802	ENST00000430785
C2orf14	ENST00000430785
TTLL3	ENST00000430793
C22orf25	ENST00000430807
ART4	ENST00000430826
Ccdc157	ENST00000430839
echdc1	ENST00000430841
TNFSF10	ENST00000430881
pla2g6	ENST00000430886
C5	ENST00000430906
KRT14P	ENST00000430915
TNS1	ENST00000430930
POLM	ENST00000430942
Ube2e3	ENST00000430956
SPOPL	ENST00000430968
suclg1	ENST00000430989
MPV17	ENST00000430991
GPD1L	ENST00000431009
HRH1	ENST00000431010
Aebp1	ENST00000431035
Sept5	ENST00000431044
flot1	ENST00000431055
BDH1	ENST00000431056
ddc	ENST00000431062
RPL23AP57	ENST00000431119
TSC22D3	ENST00000431155
ttc21a	ENST00000431162
KLK4	ENST00000431178
SMPD4	ENST00000431183
PRUNE	ENST00000431193
CCDC146	ENST00000431197
arhgap17	ENST00000431218
NOD2	ENST00000431240
ZC3H13	ENST00000431251
SPTLC3	ENST00000431275
Acbd4	ENST00000431281
Rgs11	ENST00000431291
CREB3L4	ENST00000431292
Tlk1	ENST00000431350
Rln3	ENST00000431365
OSBP2	ENST00000431368
tspan9	ENST00000431374
kiaa0895	ENST00000431396
GALNTL5	ENST00000431418
bud31	ENST00000431419
TBL1XR1	ENST00000431421
Col11a2	ENST00000431425
MDC1	ENST00000431441
PMS2CL	ENST00000431453
Cdc40	ENST00000431461
TBC1D4	ENST00000431480
GALNT3	ENST00000431484
EHBP1	ENST00000431489
LRP3	ENST00000431491
CDV3	ENST00000431519
ikzf2	ENST00000431520
Mtus2	ENST00000431530
PIGV	ENST00000431541
Nudt1	ENST00000431585
TAPBPL	ENST00000431620
MDFIC	ENST00000431629
EBNA1BP2	ENST00000431635
WRAP53	ENST00000431639
ANKRD20A5	ENST00000431648
RPL7	ENST00000431653
sar1a	ENST00000431664
SNED1	ENST00000431690
FRMPD2	ENST00000431703
ip6k2	ENST00000431721
MBD6	ENST00000431731
CEACAM20	ENST00000431738
ECT2	ENST00000431747
C2orf72	ENST00000431750
FLYWCH2	ENST00000431751
MTHFD1L	ENST00000431756
CCDC150	ENST00000431807
SORBS2	ENST00000431808
thrB	ENST00000431815
IFT122	ENST00000431818
Rasgrp2	ENST00000431822
OSBPL3	ENST00000431825
prr5	ENST00000431834
TBC1D3	ENST00000431880
CLDN4	ENST00000431918
STAG3	ENST00000431937
mro	ENST00000431965
Magea4	ENST00000431971
gatm	ENST00000432007
BIRC5	ENST00000432014
MFSD6	ENST00000432036
AFF3	ENST00000432037
LRRC3B	ENST00000432040
Ppt2	ENST00000432051
c11orf66	ENST00000432063
Slc25a25	ENST00000432073
Clcn5	ENST00000432101
KIAA0141	ENST00000432126
epb49	ENST00000432128
Nf2	ENST00000432151
ST6GAL1	ENST00000432152
AKR1D1	ENST00000432161
NDUFS1	ENST00000432169
AGTPBP1	ENST00000432218
Gsn	ENST00000432226
TTTY9A	ENST00000432335
dtymk	ENST00000432348
DNAH14	ENST00000432355
DONSON	ENST00000432378
Egr2	ENST00000432380
COPS7B	ENST00000432387
C2	ENST00000432397
Syn2	ENST00000432424
clk1	ENST00000432425
ZCCHC6	ENST00000432440
Kremen2	ENST00000432441
Hnrnpa3	ENST00000432457
PLK1S1	ENST00000432487
RALGAPA2	ENST00000432524
SPAG16	ENST00000432529
TCF7	ENST00000432532
BTN2A2	ENST00000432533
cpvl	ENST00000432534
bat3	ENST00000432539
C3orf63	ENST00000432540
AP1B1	ENST00000432560
ACTB	ENST00000432588
CCDC79	ENST00000432602
KIAA1984	ENST00000432628
HLA-DPB1	ENST00000432661
MAMLD1	ENST00000432680
utrn	ENST00000432686
PLCD4	ENST00000432688
Ogdhl	ENST00000432695
GATAD2A	ENST00000432704
zmat3	ENST00000432729
skap2	ENST00000432747
CTRL	ENST00000432773
hoxd3	ENST00000432796
STAT4	ENST00000432798
SRI	ENST00000432800
acss1	ENST00000432802
Ppip5k1	ENST00000432870
LOC389842	ENST00000432879
ZNF33B	ENST00000432900
Pycr1	ENST00000432920
PBLD	ENST00000432941
MDC1	ENST00000432998
Med14	ENST00000433003
LOC643167	ENST00000433027
CHEK2	ENST00000433028
TFEB	ENST00000433032
RIMBP3C	ENST00000433039
RIMBP3B	ENST00000433039
PRDM15	ENST00000433067
STEAP1	ENST00000433102
DNAH14	ENST00000433124
man2c1	ENST00000433127
DUSP9	ENST00000433144
Depdc5	ENST00000433147
BOLL	ENST00000433157
MAGI1	ENST00000433165
plxnb2	ENST00000433171
SULT6B1	ENST00000433192
CDK5RAP2	ENST00000433194
CTNNA3	ENST00000433211
Spg21	ENST00000433215
FAM156B	ENST00000433255
CA5BP	ENST00000433273
SSX7	ENST00000433276
Atp11b	ENST00000433285
CBWD2	ENST00000433343
SHPRH	ENST00000433355
SLC13A5	ENST00000433363
WHSC1L1	ENST00000433384
CTNNB1	ENST00000433400
LOC200030	ENST00000433409
entpd6	ENST00000433417
CCDC144A	ENST00000433419
SUN1	ENST00000433434
RQCD1	ENST00000433439
PLP1	ENST00000433491
RfC4	ENST00000433496
trex1	ENST00000433541
CCDC14	ENST00000433542
SUN2	ENST00000433561
Gpr113	ENST00000433584
DNA2	ENST00000433594
mettl7a	ENST00000433599
Ubap2l	ENST00000433615
FAM3A	ENST00000433619
EFHC1	ENST00000433625
MIOS	ENST00000433635
CDK11A	ENST00000433639
VIPR1	ENST00000433647
UNC45B	ENST00000433649
phyhipl	ENST00000433653
CTSD	ENST00000433655
CES3	ENST00000433663
st3gal5	ENST00000433665
LOC653884	ENST00000433682
SLC22A23	ENST00000433689
P4HA2	ENST00000433701
ACOXL	ENST00000433706
TRPM8	ENST00000433712
Chn2	ENST00000433720
LOC100133012	ENST00000433728
PON1	ENST00000433729
Hsd3b2	ENST00000433745
PYCRL	ENST00000433751
RNF123	ENST00000433785
DEC1	ENST00000433792
Pcgf3	ENST00000433814
C3orf35	ENST00000433820
BRPF1	ENST00000433861
Fyco1	ENST00000433878
Tmem43	ENST00000433894
atp6v1b1	ENST00000433895
Myh7b	ENST00000433934
usp8	ENST00000433963
Rpusd3	ENST00000433972
CYP2D7P1	ENST00000433992
NPRL2	ENST00000433999
lancl1	ENST00000434011
Tmem2	ENST00000434022
usp19	ENST00000434032
INS-IGF2	ENST00000434045
SYNPO2	ENST00000434046
